Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Day,Week,Predicted_Sales
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,2010,2,5,5,1.6500221e+06
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,2010,2,12,6,1.6174281e+06
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,2010,2,19,7,1.6190471e+06
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2010,2,26,8,1.4082404e+06
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,3,5,9,1.5608459e+06
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,2010,3,12,10,1.4954488e+06
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,2010,3,19,11,1.4830098e+06
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,2010,3,26,12,1.389139e+06
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,2010,4,2,13,1.5581142e+06
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,2010,4,9,14,1.5363484e+06
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,2010,4,16,15,1.4905416e+06
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,2010,4,23,16,1.4054104e+06
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,2010,4,30,17,1.4069659e+06
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,5,7,18,1.583853e+06
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,5,14,19,1.5167976e+06
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,2010,5,21,20,1.4487699e+06
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,2010,5,28,21,1.4322181e+06
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,2010,6,4,22,1.5786999e+06
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,2010,6,11,23,1.5402629e+06
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,2010,6,18,24,1.5156024e+06
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,2010,6,25,25,1.4266262e+06
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,2010,7,2,26,1.5320455e+06
1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,2010,7,9,27,1.5391104e+06
1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,2010,7,16,28,1.4779938e+06
1,2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,2010,7,23,29,1.3939755e+06
1,2010-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,2010,7,30,30,1.3728672e+06
1,2010-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787,2010,8,6,31,1.5937564e+06
1,2010-08-13,1508237.76,0,87.0,2.692,211.6394211,7.787,2010,8,13,32,1.5134119e+06
1,2010-08-20,1513080.49,0,86.65,2.664,211.6033633,7.787,2010,8,20,33,1.4871726e+06
1,2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787,2010,8,27,34,1.4398142e+06
1,2010-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,2010,9,3,35,1.5291269e+06
1,2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,2010,9,10,36,1.5082349e+06
1,2010-09-17,1430378.67,0,82.11,2.582,211.5224596,7.787,2010,9,17,37,1.4369071e+06
1,2010-09-24,1351791.03,0,80.94,2.624,211.5972246,7.787,2010,9,24,38,1.3473965e+06
1,2010-10-01,1453329.5,0,71.89,2.603,211.6719895,7.838,2010,10,1,39,1.4527939e+06
1,2010-10-08,1508239.93,0,63.93,2.633,211.7467544,7.838,2010,10,8,40,1.502616e+06
1,2010-10-15,1459409.1,0,67.18,2.72,211.8137436,7.838,2010,10,15,41,1.4429301e+06
1,2010-10-22,1345454.0,0,69.86,2.725,211.8612937,7.838,2010,10,22,42,1.3806272e+06
1,2010-10-29,1384209.22,0,69.64,2.716,211.9088438,7.838,2010,10,29,43,1.3785326e+06
1,2010-11-05,1551659.28,0,58.74,2.689,211.9563939,7.838,2010,11,5,44,1.5429885e+06
1,2010-11-12,1494479.49,0,59.61,2.728,212.003944,7.838,2010,11,12,45,1.5029836e+06
1,2010-11-19,1483784.18,0,51.41,2.771,211.8896737,7.838,2010,11,19,46,1.7170232e+06
1,2010-11-26,1955624.11,1,64.52,2.735,211.7484333,7.838,2010,11,26,47,2.003674e+06
1,2010-12-03,1548033.78,0,49.27,2.708,211.607193,7.838,2010,12,3,48,1.5498804e+06
1,2010-12-10,1682614.26,0,46.33,2.843,211.4659526,7.838,2010,12,10,49,1.8376605e+06
1,2010-12-17,1891034.93,0,49.84,2.869,211.4053124,7.838,2010,12,17,50,1.975798e+06
1,2010-12-24,2387950.2,0,52.33,2.886,211.4051222,7.838,2010,12,24,51,2.3455008e+06
1,2010-12-31,1367320.01,1,48.43,2.943,211.4049321,7.838,2010,12,31,52,1.3750765e+06
1,2011-01-07,1444732.28,0,48.27,2.976,211.4047419,7.742,2011,1,7,1,1.4587952e+06
1,2011-01-14,1391013.96,0,35.4,2.983,211.4574109,7.742,2011,1,14,2,1.4072391e+06
1,2011-01-21,1327405.42,0,44.04,3.016,211.8272343,7.742,2011,1,21,3,1.3772711e+06
1,2011-01-28,1316899.31,0,43.83,3.01,212.1970577,7.742,2011,1,28,4,1.3466686e+06
1,2011-02-04,1606629.58,0,42.27,2.989,212.5668812,7.742,2011,2,4,5,1.6126231e+06
1,2011-02-11,1649614.93,1,36.39,3.022,212.9367046,7.742,2011,2,11,6,1.6462245e+06
1,2011-02-18,1686842.78,0,57.36,3.045,213.2478853,7.742,2011,2,18,7,1.6625865e+06
1,2011-02-25,1456800.28,0,62.9,3.065,213.535609,7.742,2011,2,25,8,1.461271e+06
1,2011-03-04,1636263.41,0,59.58,3.288,213.8233327,7.742,2011,3,4,9,1.6191082e+06
1,2011-03-11,1553191.63,0,53.56,3.459,214.1110564,7.742,2011,3,11,10,1.5743186e+06
1,2011-03-18,1576818.06,0,62.76,3.488,214.3627114,7.742,2011,3,18,11,1.562143e+06
1,2011-03-25,1541102.38,0,69.97,3.473,214.5999389,7.742,2011,3,25,12,1.4797556e+06
1,2011-04-01,1495064.75,0,59.17,3.524,214.8371664,7.682,2011,4,1,13,1.5073075e+06
1,2011-04-08,1614259.35,0,67.84,3.622,215.0743939,7.682,2011,4,8,14,1.6034488e+06
1,2011-04-15,1559889.0,0,71.27,3.743,215.2918561,7.682,2011,4,15,15,1.5568159e+06
1,2011-04-22,1564819.81,0,72.99,3.807,215.4599053,7.682,2011,4,22,16,1.489646e+06
1,2011-04-29,1455090.69,0,72.03,3.81,215.6279544,7.682,2011,4,29,17,1.4467336e+06
1,2011-05-06,1629391.28,0,64.61,3.906,215.7960035,7.682,2011,5,6,18,1.5614435e+06
1,2011-05-13,1604775.58,0,75.64,3.899,215.9640526,7.682,2011,5,13,19,1.5652671e+06
1,2011-05-20,1428218.27,0,67.63,3.907,215.7339202,7.682,2011,5,20,20,1.4407626e+06
1,2011-05-27,1466046.67,0,77.72,3.786,215.5037878,7.682,2011,5,27,21,1.4639951e+06
1,2011-06-03,1635078.41,0,83.0,3.699,215.2736553,7.682,2011,6,3,22,1.5940028e+06
1,2011-06-10,1588948.32,0,83.13,3.648,215.0435229,7.682,2011,6,10,23,1.5857626e+06
1,2011-06-17,1532114.86,0,86.41,3.637,214.9980596,7.682,2011,6,17,24,1.544048e+06
1,2011-06-24,1438830.15,0,83.58,3.594,215.0910982,7.682,2011,6,24,25,1.461703e+06
1,2011-07-01,1488538.09,0,85.55,3.524,215.1841368,7.962,2011,7,1,26,1.5014692e+06
1,2011-07-08,1534849.64,0,85.83,3.48,215.2771754,7.962,2011,7,8,27,1.5561272e+06
1,2011-07-15,1455119.97,0,88.54,3.575,215.3611087,7.962,2011,7,15,28,1.5061781e+06
1,2011-07-22,1396926.82,0,85.77,3.651,215.4222784,7.962,2011,7,22,29,1.4093909e+06
1,2011-07-29,1352219.79,0,86.83,3.682,215.4834482,7.962,2011,7,29,30,1.3575824e+06
